price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,ceiling_height,number_of_rooms,CAR,EAR,NAR,NEAR,NWAR,SAR,SEAR,SWAR,WAR
31633073.0,24.0,64.2,32.4,11.0,16.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30349669.0,5.0,72.4,33.6,3.0,24.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38810000.0,27.0,66.9,24.8,9.0,14.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34100453.0,20.0,66.0,29.9,8.0,46.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27447668.0,5.0,65.55,34.4,26.0,26.0,2023.0,2.87,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21230289.0,5.0,59.3,29.3,23.0,23.0,2023.0,2.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29759589.0,25.0,64.2,32.9,7.0,16.0,2022.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30115475.0,25.0,65.8,32.1,14.0,16.0,2022.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15177043.0,4.0,36.33,18.4,6.0,29.0,2023.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40331596.0,27.0,71.2,43.8,15.0,15.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44072325.0,25.0,69.1,25.6,9.0,16.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39655200.0,19.0,80.6,60.5,27.0,32.0,2023.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29476161.0,10.0,44.7,15.7,24.0,28.0,2022.0,3.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40420000.0,28.0,69.2,26.3,13.0,14.0,2021.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30377215.0,17.0,61.3,37.8,16.0,43.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41741000.0,10.0,67.0,50.3,3.0,34.0,2022.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34398000.0,19.0,75.6,56.7,11.0,32.0,2023.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41280000.0,28.0,67.0,24.8,13.0,14.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14604980.0,6.0,52.4,25.4,13.0,15.0,2023.0,2.84,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34025200.0,19.0,70.3,52.7,10.0,32.0,2023.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20463155.0,8.0,39.7,25.6,16.0,35.0,2023.0,3.1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28174549.0,24.0,75.3,43.8,18.0,21.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26205026.0,4.0,62.7,25.5,5.0,12.0,2022.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37000000.0,18.0,58.6,42.5,38.0,41.0,2024.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46930475.0,12.0,66.98,33.2,13.0,32.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15272858.0,16.0,59.6,29.7,3.0,14.0,2023.0,2.84,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19654093.0,5.0,40.66,25.5,26.0,26.0,2023.0,2.87,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26760111.0,4.0,64.08,33.1,47.0,52.0,2024.0,2.85,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32022800.0,12.0,71.8,53.9,2.0,37.0,2024.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30324294.0,17.0,56.7,32.7,9.0,43.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33854660.0,16.0,55.3,28.8,15.0,24.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37650214.0,13.0,79.36,36.8,14.0,15.0,2024.0,3.02,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38042644.0,13.0,85.4,35.7,21.0,25.0,2022.0,3.02,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16360104.0,9.0,37.37,22.9,17.0,30.0,2023.0,3.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24161658.0,4.0,53.66,31.4,25.0,27.0,2023.0,2.87,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19795000.0,4.0,51.61,20.7,21.0,29.0,2023.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31999440.0,16.0,52.7,29.8,15.0,24.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26020054.0,22.0,45.33,23.2,8.0,29.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16355789.0,6.0,58.1,28.6,15.0,15.0,2023.0,2.84,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76167310.0,6.0,85.7,36.6,3.0,9.0,2023.0,3.25,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39220000.0,27.0,68.8,29.8,9.0,13.0,2023.0,3.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33870474.0,4.0,49.8,27.2,7.0,22.0,2022.0,3.25,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33804798.0,5.0,70.58,29.7,43.0,52.0,2024.0,2.85,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37585483.0,10.0,62.7,30.1,15.0,28.0,2022.0,3.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24765188.0,9.0,58.0,21.9,5.0,9.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35467058.0,17.0,73.5,35.7,9.0,43.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32357376.0,25.0,62.6,35.3,3.0,16.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18029400.0,16.0,59.7,29.7,7.0,15.0,2023.0,2.84,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11784950.0,9.0,32.01,20.6,12.0,25.0,2024.0,2.8,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13290010.0,9.0,35.33,23.7,20.0,25.0,2024.0,2.8,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40799069.0,25.0,84.51,37.6,8.0,12.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34335474.0,22.0,92.78,31.9,2.0,17.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34785711.0,20.0,66.5,28.6,11.0,46.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21000000.0,9.0,51.6,11.2,13.0,28.0,2024.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73395040.0,6.0,79.2,36.2,7.0,9.0,2023.0,3.25,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32810400.0,12.0,75.6,56.7,2.0,37.0,2024.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23688668.0,17.0,60.5,23.9,5.0,30.0,2024.0,2.87,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
126980000.0,5.0,87.1,30.6,1.0,3.0,2023.0,3.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29201900.0,19.0,63.5,29.7,12.0,22.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29862660.0,19.0,67.1,30.3,21.0,22.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25178208.0,6.0,44.0,24.2,15.0,15.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20535330.0,4.0,62.2,35.2,23.0,29.0,2022.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30064650.0,13.0,62.7,37.4,24.0,32.0,2021.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53809097.0,23.0,79.1,36.1,7.0,11.0,2024.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32923968.0,2025.0,70.4,35.7,19.0,29.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31044068.0,7.0,60.3,29.3,30.0,40.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27813044.0,4.0,62.09,29.6,51.0,52.0,2024.0,2.85,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15961450.0,4.0,35.3,20.2,6.0,29.0,2023.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28657590.0,11.0,59.1,31.4,27.0,34.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23700476.0,24.0,60.4,27.5,5.0,21.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118150000.0,6.0,107.2,32.9,2.0,3.0,2023.0,3.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29663214.0,4.0,60.62,28.7,46.0,52.0,2024.0,2.85,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29612067.0,24.0,53.9,24.2,11.0,16.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52251760.0,7.0,76.4,29.6,14.0,15.0,2023.0,3.23,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41320668.0,25.0,73.2,46.2,11.0,14.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29143191.0,9.0,73.7,30.5,8.0,9.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74935640.0,6.0,79.6,36.2,8.0,9.0,2023.0,3.25,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
